arm,player_id,heldout_player_days,heldout_positive_days,brier_score,average_precision,roc_auc
f1_logistic,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,512,0,0.0000771085426376032,,
f1_logistic,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,512,0,0.00007933812892687328,,
f1_logistic,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,512,0,0.00006759783917274828,,
f1_logistic,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,512,0,0.00014160895087890683,,
f1_logistic,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,512,0,0.00006759783917274828,,
f1_logistic,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,512,0,0.00011798439913751517,,
f1_logistic,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,512,0,0.00004834054352533141,,
f1_logistic,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,512,0,0.00022549388459581235,,
f1_logistic,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,512,0,0.000058598768860846684,,
f1_logistic,TeamB-9c845827-99f9-47f4-977d-2200a107a013,512,0,0.00007374664010227507,,
f1_logistic,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,512,0,0.00029572816102850817,,
f1_logistic,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,512,0,0.000627757443725955,,
f1_logistic,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,512,0,0.00019911537135812278,,
f1_logistic,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,512,0,0.00021613561113854846,,
f1_logistic,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,512,0,0.00018601080895336438,,
f1_logistic,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,512,0,0.00007779291894558312,,
f1_logistic,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,512,0,0.0011106641133723635,,
f1_logistic,TeamB-f67673c0-d467-4832-9519-55133a2647e5,512,0,0.00006973286586856011,,
