layer,relation,player_id,start_date,end_date,unique_dates,span_days,unobserved_span_days
bronze,injury_reports,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-06-26,2020-08-08,3,44,41
bronze,injury_reports,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-03-20,2021-09-16,45,546,501
bronze,injury_reports,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-03-22,2021-09-16,4,544,540
bronze,injury_reports,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,2020-09-05,2020-09-05,1,1,0
bronze,injury_reports,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,2020-03-20,2020-03-20,1,1,0
bronze,injury_reports,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-03-20,2020-03-20,1,1,0
bronze,injury_reports,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2020-03-20,2020-04-15,8,27,19
bronze,injury_reports,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-05-18,2021-01-27,8,255,247
bronze,injury_reports,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-01-26,2020-02-07,4,13,9
bronze,injury_reports,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,2021-10-05,2021-10-05,1,1,0
bronze,injury_reports,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-26,2020-01-26,1,1,0
bronze,injury_reports,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-01-14,2020-01-23,3,10,7
bronze,training_sessions,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,2021-06-09,2021-12-31,141,206,65
bronze,training_sessions,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-03-20,2021-12-31,418,652,234
bronze,training_sessions,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,2020-03-24,2021-11-16,349,603,254
bronze,training_sessions,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-07-06,2021-12-31,437,544,107
bronze,training_sessions,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-03-21,2021-12-23,228,643,415
bronze,training_sessions,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-03-21,2021-11-13,511,603,92
bronze,training_sessions,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-03-23,2021-12-18,297,636,339
bronze,training_sessions,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-03-21,2021-12-30,557,650,93
bronze,training_sessions,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-06-10,2021-12-31,449,570,121
bronze,training_sessions,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-03-21,2021-12-15,475,635,160
bronze,training_sessions,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,2020-06-13,2021-05-19,225,341,116
bronze,training_sessions,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,2020-06-25,2021-10-23,339,486,147
bronze,training_sessions,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-03-20,2021-12-31,475,652,177
bronze,training_sessions,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-01-29,2021-12-31,357,703,346
bronze,training_sessions,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,2021-06-10,2021-12-31,96,205,109
