feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
fatigue,readiness_zscore_prior,16844,0.3150303240468723,0.32364602866789577,0.32364602866789577
readiness_zscore_prior,fatigue,16844,0.3150303240468723,0.32364602866789577,0.32364602866789577
fatigue,wellness_report_present,16992,,,
wellness_report_present,fatigue,16992,,,
fatigue,session_recorded,16992,0.08297397359594642,0.08104084977462384,0.08104084977462384
session_recorded,fatigue,16992,0.08297397359594642,0.08104084977462384,0.08104084977462384
fatigue,daily_load_log1p,16992,0.08466714152576149,0.07057985114100153,0.07057985114100153
daily_load_log1p,fatigue,16992,0.08466714152576149,0.07057985114100153,0.07057985114100153
fatigue,session_duration_minutes_log1p,16992,0.08711649529458138,0.08567416067717562,0.08567416067717562
session_duration_minutes_log1p,fatigue,16992,0.08711649529458138,0.08567416067717562,0.08567416067717562
fatigue,session_srpe_log1p,16992,0.08592120301511615,0.07558602356788592,0.07558602356788592
session_srpe_log1p,fatigue,16992,0.08592120301511615,0.07558602356788592,0.07558602356788592
fatigue,daily_load_sum_3d_log1p,16992,0.009280319525128734,-0.05612011141973977,0.05612011141973977
daily_load_sum_3d_log1p,fatigue,16992,0.009280319525128734,-0.05612011141973977,0.05612011141973977
fatigue,daily_load_sum_7d_log1p,16992,0.0047463321777381695,-0.04430307767401763,0.04430307767401763
daily_load_sum_7d_log1p,fatigue,16992,0.0047463321777381695,-0.04430307767401763,0.04430307767401763
fatigue,daily_load_sum_14d_log1p,16992,0.0037138893729798668,-0.03565335615718949,0.03565335615718949
daily_load_sum_14d_log1p,fatigue,16992,0.0037138893729798668,-0.03565335615718949,0.03565335615718949
fatigue,daily_load_sum_28d_log1p,16992,-0.008074129812725598,-0.031028966808819936,0.031028966808819936
daily_load_sum_28d_log1p,fatigue,16992,-0.008074129812725598,-0.031028966808819936,0.031028966808819936
fatigue,session_duration_sum_3d_log1p,16992,0.030372118231412382,0.01054857898367035,0.01054857898367035
session_duration_sum_3d_log1p,fatigue,16992,0.030372118231412382,0.01054857898367035,0.01054857898367035
fatigue,session_duration_sum_7d_log1p,16992,0.029156805276713174,0.02848233213754901,0.02848233213754901
session_duration_sum_7d_log1p,fatigue,16992,0.029156805276713174,0.02848233213754901,0.02848233213754901
fatigue,session_duration_sum_14d_log1p,16992,0.030841137678048042,0.0353392202182655,0.0353392202182655
session_duration_sum_14d_log1p,fatigue,16992,0.030841137678048042,0.0353392202182655,0.0353392202182655
fatigue,session_duration_sum_28d_log1p,16992,0.021660876577608935,0.03879176824458437,0.03879176824458437
session_duration_sum_28d_log1p,fatigue,16992,0.021660876577608935,0.03879176824458437,0.03879176824458437
fatigue,session_srpe_sum_3d_log1p,16992,0.01179190492699625,-0.04829297319622852,0.04829297319622852
session_srpe_sum_3d_log1p,fatigue,16992,0.01179190492699625,-0.04829297319622852,0.04829297319622852
fatigue,session_srpe_sum_7d_log1p,16992,0.008321173259613944,-0.03347478274854602,0.03347478274854602
session_srpe_sum_7d_log1p,fatigue,16992,0.008321173259613944,-0.03347478274854602,0.03347478274854602
fatigue,session_srpe_sum_14d_log1p,16992,0.008014931706776538,-0.025815860090754775,0.025815860090754775
session_srpe_sum_14d_log1p,fatigue,16992,0.008014931706776538,-0.025815860090754775,0.025815860090754775
fatigue,session_srpe_sum_28d_log1p,16992,-0.003482290676793928,-0.022371543014934627,0.022371543014934627
session_srpe_sum_28d_log1p,fatigue,16992,-0.003482290676793928,-0.022371543014934627,0.022371543014934627
readiness,readiness,16997,1.0,1.0,1.0
readiness,wellness_metric_count,16997,0.04068143441743642,0.02838648521827606,0.02838648521827606
wellness_metric_count,readiness,16997,0.04068143441743642,0.02838648521827606,0.02838648521827606
readiness,session_count,16997,0.1521842111003917,0.1447001823357952,0.1447001823357952
session_count,readiness,16997,0.1521842111003917,0.1447001823357952,0.1447001823357952
readiness,session_duration_minutes,16997,0.16963545490444173,0.16577338017573534,0.16577338017573534
session_duration_minutes,readiness,16997,0.16963545490444173,0.16577338017573534,0.16577338017573534
readiness,session_srpe,16997,0.17850126887095938,0.17340816778527102,0.17340816778527102
session_srpe,readiness,16997,0.17850126887095938,0.17340816778527102,0.17340816778527102
readiness,daily_load_sum_3d,16997,0.05029089092628339,0.017963610637903686,0.017963610637903686
daily_load_sum_3d,readiness,16997,0.05029089092628339,0.017963610637903686,0.017963610637903686
readiness,daily_load_sum_7d,16997,0.06686164720960129,0.027508619325458696,0.027508619325458696
daily_load_sum_7d,readiness,16997,0.06686164720960129,0.027508619325458696,0.027508619325458696
readiness,daily_load_sum_14d,16997,0.05952875751367658,0.028289885472036782,0.028289885472036782
daily_load_sum_14d,readiness,16997,0.05952875751367658,0.028289885472036782,0.028289885472036782
readiness,daily_load_sum_28d,16997,0.04254553445145251,0.02060204595464034,0.02060204595464034
daily_load_sum_28d,readiness,16997,0.04254553445145251,0.02060204595464034,0.02060204595464034
readiness,session_duration_sum_3d,16997,0.10013035184158044,0.07164887478106474,0.07164887478106474
session_duration_sum_3d,readiness,16997,0.10013035184158044,0.07164887478106474,0.07164887478106474
readiness,session_duration_sum_7d,16997,0.1103816120393341,0.08175150479191953,0.08175150479191953
session_duration_sum_7d,readiness,16997,0.1103816120393341,0.08175150479191953,0.08175150479191953
readiness,session_duration_sum_14d,16997,0.10021453968555087,0.08240758297722628,0.08240758297722628
session_duration_sum_14d,readiness,16997,0.10021453968555087,0.08240758297722628,0.08240758297722628
readiness,session_duration_sum_28d,16997,0.08255647495659461,0.07616308542658379,0.07616308542658379
session_duration_sum_28d,readiness,16997,0.08255647495659461,0.07616308542658379,0.07616308542658379
readiness,session_srpe_sum_3d,16997,0.06429928560024109,0.029308899749543375,0.029308899749543375
session_srpe_sum_3d,readiness,16997,0.06429928560024109,0.029308899749543375,0.029308899749543375
readiness,session_srpe_sum_7d,16997,0.08434484924458747,0.043262320314973936,0.043262320314973936
session_srpe_sum_7d,readiness,16997,0.08434484924458747,0.043262320314973936,0.043262320314973936
readiness,session_srpe_sum_14d,16997,0.07873982389878242,0.04436821186951454,0.04436821186951454
session_srpe_sum_14d,readiness,16997,0.07873982389878242,0.04436821186951454,0.04436821186951454
readiness,session_srpe_sum_28d,16997,0.0617064642555444,0.03626267072736929,0.03626267072736929
session_srpe_sum_28d,readiness,16997,0.0617064642555444,0.03626267072736929,0.03626267072736929
readiness,fatigue_mean_3d,16996,0.43205570235129914,0.43014661108446267,0.43014661108446267
fatigue_mean_3d,readiness,16996,0.43205570235129914,0.43014661108446267,0.43014661108446267
readiness,fatigue_mean_7d,16996,0.4033721309556161,0.4037396301478286,0.4037396301478286
fatigue_mean_7d,readiness,16996,0.4033721309556161,0.4037396301478286,0.4037396301478286
readiness,fatigue_mean_14d,16997,0.3898741904493322,0.39226343606678304,0.39226343606678304
fatigue_mean_14d,readiness,16997,0.3898741904493322,0.39226343606678304,0.39226343606678304
readiness,fatigue_mean_28d,16997,0.3799828101024427,0.3835804445690554,0.3835804445690554
fatigue_mean_28d,readiness,16997,0.3799828101024427,0.3835804445690554,0.3835804445690554
readiness,readiness_mean_3d,16997,0.867132767862324,0.8544819563764325,0.8544819563764325
readiness_mean_3d,readiness,16997,0.867132767862324,0.8544819563764325,0.8544819563764325
readiness,readiness_mean_7d,16997,0.7993141310692236,0.7862035358375423,0.7862035358375423
readiness_mean_7d,readiness,16997,0.7993141310692236,0.7862035358375423,0.7862035358375423
readiness,readiness_mean_14d,16997,0.75556459442313,0.747605171353791,0.747605171353791
readiness_mean_14d,readiness,16997,0.75556459442313,0.747605171353791,0.747605171353791
readiness,readiness_mean_28d,16997,0.7207682453582847,0.7158199534768513,0.7158199534768513
readiness_mean_28d,readiness,16997,0.7207682453582847,0.7158199534768513,0.7158199534768513
readiness,daily_load_baseline_mean_prior,16997,-0.10225873915091031,-0.10311691483686976,0.10311691483686976
daily_load_baseline_mean_prior,readiness,16997,-0.10225873915091031,-0.10311691483686976,0.10311691483686976
readiness,daily_load_zscore_prior,16944,0.12620050414333603,0.18947037878477763,0.18947037878477763
daily_load_zscore_prior,readiness,16944,0.12620050414333603,0.18947037878477763,0.18947037878477763
readiness,fatigue_baseline_mean_prior,16948,0.3208075176446747,0.34217244640687805,0.34217244640687805
fatigue_baseline_mean_prior,readiness,16948,0.3208075176446747,0.34217244640687805,0.34217244640687805
readiness,fatigue_zscore_prior,16798,0.3363449347397587,0.29378509324191593,0.29378509324191593
fatigue_zscore_prior,readiness,16798,0.3363449347397587,0.29378509324191593,0.29378509324191593
readiness,readiness_baseline_mean_prior,16947,0.5720566856608735,0.60855877023089,0.60855877023089
readiness_baseline_mean_prior,readiness,16947,0.5720566856608735,0.60855877023089,0.60855877023089
readiness,readiness_zscore_prior,16858,0.707675431465723,0.6757037253017465,0.6757037253017465
readiness_zscore_prior,readiness,16858,0.707675431465723,0.6757037253017465,0.6757037253017465
readiness,wellness_report_present,16997,,,
wellness_report_present,readiness,16997,,,
readiness,session_recorded,16997,0.15678268628032282,0.13969126503764975,0.13969126503764975
session_recorded,readiness,16997,0.15678268628032282,0.13969126503764975,0.13969126503764975
readiness,daily_load_log1p,16997,0.17306327286004555,0.16639322550238986,0.16639322550238986
daily_load_log1p,readiness,16997,0.17306327286004555,0.16639322550238986,0.16639322550238986
readiness,session_duration_minutes_log1p,16997,0.1671918611631315,0.16577338017573534,0.16577338017573534
session_duration_minutes_log1p,readiness,16997,0.1671918611631315,0.16577338017573534,0.16577338017573534
readiness,session_srpe_log1p,16997,0.17459937425171634,0.17340816778527102,0.17340816778527102
session_srpe_log1p,readiness,16997,0.17459937425171634,0.17340816778527102,0.17340816778527102
readiness,daily_load_sum_3d_log1p,16997,0.10889085229093826,0.017963610637903686,0.017963610637903686
