arm,player_id,training_positive_days,heldout_player_days,heldout_positive_days,brier_score,average_precision,roc_auc,metric_support
C,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,308,512,0,0.000060063821156176826,,,zero_positive_support
C,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,301,511,7,0.013798500821369354,0.02495806062803503,0.7049319727891157,estimable
C,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,308,512,0,0.00004779041952752747,,,zero_positive_support
C,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,308,512,0,0.00013148517625733076,,,zero_positive_support
C,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,301,511,7,0.013818884403341558,0.013725490196078431,0.04563492063492064,estimable
C,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,301,511,7,0.013880800272512941,0.0136986301369863,0.04365079365079366,estimable
C,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,286,501,22,0.0428178759514835,0.04593907058102689,0.46294363256784965,estimable
C,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,284,502,24,0.04584777424153919,0.1801495455953329,0.7314330543933054,estimable
C,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,308,512,0,0.00005795085560156614,,,zero_positive_support
C,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,308,512,0,0.00011216003475295205,,,zero_positive_support
C,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,308,512,0,0.0001048051189197606,,,zero_positive_support
C,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,308,512,0,0.00017156921206192233,,,zero_positive_support
C,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,308,512,0,0.00022885252382529435,,,zero_positive_support
C,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,308,512,0,0.00005795085560156623,,,zero_positive_support
C,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,308,512,0,0.00012995282087823487,,,zero_positive_support
C,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,308,512,0,0.00009721189144611362,,,zero_positive_support
C,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,302,508,6,0.011924411476315977,0.007067068925053475,0.03618857901726428,estimable
C,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,308,512,0,0.00005843324547745531,,,zero_positive_support
C,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,308,512,0,0.00006602644147943735,,,zero_positive_support
C,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,308,512,0,0.00006611413305824262,,,zero_positive_support
C,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,308,512,0,0.000057950855601566246,,,zero_positive_support
C,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,308,512,0,0.00013989975039944172,,,zero_positive_support
C,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,308,512,0,0.000057950855601566246,,,zero_positive_support
C,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,308,512,0,0.0001056596820480061,,,zero_positive_support
C,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,308,512,0,0.00004770555893290074,,,zero_positive_support
C,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,308,512,0,0.00017297041367082857,,,zero_positive_support
C,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,308,512,0,0.00004949875553044988,,,zero_positive_support
C,TeamB-9c845827-99f9-47f4-977d-2200a107a013,308,512,0,0.00005918907762194162,,,zero_positive_support
C,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,308,512,0,0.0003222323358837108,,,zero_positive_support
C,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,308,512,0,0.0006422377441864477,,,zero_positive_support
C,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,308,512,0,0.00022344084393881528,,,zero_positive_support
C,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,308,512,0,0.00018625330132310928,,,zero_positive_support
C,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,308,512,0,0.00015508868091530076,,,zero_positive_support
C,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,308,512,0,0.00006612229483021313,,,zero_positive_support
C,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,308,512,0,0.0012567800571927667,,,zero_positive_support
C,TeamB-f67673c0-d467-4832-9519-55133a2647e5,308,512,0,0.00006013762022422782,,,zero_positive_support
D,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,308,512,0,0.00006606062037189454,,,zero_positive_support
D,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,308,512,0,0.00014890900566259699,,,zero_positive_support
D,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,308,512,0,0.00011847663339122819,,,zero_positive_support
D,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,308,512,0,0.00009251271420712465,,,zero_positive_support
D,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,251,482,57,0.1158610747700298,0.10913381585416827,0.4335190918472652,estimable
D,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,215,438,93,0.20579713481789771,0.252594868288463,0.46690042075736327,estimable
