sensitivity_scope,feature,window_days,matched_event_count,player_count,player_equal_mean_difference,cluster_ci_low,cluster_ci_high
isolated_onsets,session_duration_sum_28d_log1p,7,15,10,-1.426255458685058,-3.747757741433464,0.1910791038870671
all_matched_events,session_duration_sum_28d_log1p,14,68,13,-1.3209857496493436,-3.243866984738406,0.0695998271153141
exclude_top_five_players,session_duration_sum_28d_log1p,14,13,8,-1.8987806674659775,-4.668782827955506,0.13682925400546064
exclude_top_player,session_duration_sum_28d_log1p,14,44,12,-1.4100560937056772,-3.3353212501159937,0.31233794310756313
isolated_onsets,session_duration_sum_28d_log1p,14,15,10,-1.472512391525713,-3.7721267502649627,0.14430340534394923
all_matched_events,session_duration_sum_28d_log1p,28,68,13,-1.4413063300186262,-3.483552787106637,0.03265177021841085
exclude_top_five_players,session_duration_sum_28d_log1p,28,13,8,-1.7872718578474143,-4.395380399959604,0.575922154810915
exclude_top_player,session_duration_sum_28d_log1p,28,44,12,-1.513963652481173,-3.476880796181423,0.33821647968440754
isolated_onsets,session_duration_sum_28d_log1p,28,15,10,-1.4807341860599998,-3.6854977273979923,0.2792246261816798
all_matched_events,session_duration_sum_7d_log1p,3,68,13,-0.8677780944881777,-2.3678342806030424,0.26583081266057956
exclude_top_five_players,session_duration_sum_7d_log1p,3,13,8,-1.4070688453939495,-3.5664846599036353,0.17910506054160596
exclude_top_player,session_duration_sum_7d_log1p,3,44,12,-0.9380414681085204,-2.509909453735895,0.3981119851322961
isolated_onsets,session_duration_sum_7d_log1p,3,15,10,-0.7699817225205534,-2.6079952444299734,0.7046351624382795
all_matched_events,session_duration_sum_7d_log1p,7,68,13,-0.9057457870276274,-2.3689706719576664,0.1842101044258702
exclude_top_five_players,session_duration_sum_7d_log1p,7,13,8,-1.4878371788122562,-3.612438862395335,0.032823165733833544
exclude_top_player,session_duration_sum_7d_log1p,7,44,12,-0.9751838968551533,-2.513192531375424,0.2943063303205177
isolated_onsets,session_duration_sum_7d_log1p,7,15,10,-0.8487037444450962,-2.680368392758179,0.6526661172172477
all_matched_events,session_duration_sum_7d_log1p,14,68,13,-1.0284239755778846,-2.4979128655543237,0.09719366157370699
exclude_top_five_players,session_duration_sum_7d_log1p,14,13,8,-1.5782667862166992,-3.7634682812357383,-0.023173189945542527
exclude_top_player,session_duration_sum_7d_log1p,14,44,12,-1.1054734983224628,-2.67070481109171,0.24406713863666893
isolated_onsets,session_duration_sum_7d_log1p,14,15,10,-1.027608080887612,-2.9444387821104097,0.38280667524282913
all_matched_events,session_duration_sum_7d_log1p,28,68,13,-1.2374469353217825,-2.8473224211555994,-0.04241417256531432
exclude_top_five_players,session_duration_sum_7d_log1p,28,13,8,-1.6211625790633615,-3.7443827781466594,0.2186365457129268
exclude_top_player,session_duration_sum_7d_log1p,28,44,12,-1.312183859864396,-2.883183983530847,0.16111705109479635
isolated_onsets,session_duration_sum_7d_log1p,28,15,10,-1.2325084277619565,-3.0544857345534195,0.17357272886002237
all_matched_events,session_recorded,3,68,13,-0.1505901505901506,-0.413034188034188,0.07148962148962144
exclude_top_five_players,session_recorded,3,13,8,-0.2222222222222222,-0.5701388888888889,0.12500000000000003
exclude_top_player,session_recorded,3,44,12,-0.1677689594356261,-0.4137345679012346,0.08900462962962959
isolated_onsets,session_recorded,3,15,10,-0.03333333333333332,-0.4111111111111111,0.2777777777777778
all_matched_events,session_recorded,7,68,13,-0.09458398744113028,-0.25667189952904235,0.03363422291993722
exclude_top_five_players,session_recorded,7,13,8,-0.15178571428571425,-0.34523809523809523,0.0535714285714286
exclude_top_player,session_recorded,7,44,12,-0.1024659863945578,-0.26062570861678,0.044642857142857165
isolated_onsets,session_recorded,7,15,10,-0.021428571428571415,-0.22982142857142857,0.17744047619047615
all_matched_events,session_recorded,14,68,13,-0.14179966858538287,-0.3144612332112332,-0.0004772261468690693
