reference_type,feature,window_days,matched_event_count,player_count,event_weighted_mean_difference,median_difference,player_equal_mean_difference,cluster_ci_low,cluster_ci_high
reporting_reference,session_duration_minutes_log1p,14,68,13,0.04100907515983046,0.0,-0.12679607587463568,-0.4457396679143891,0.1629217883026214
reporting_reference,session_duration_minutes_log1p,28,68,13,-0.19395232536300033,-0.10922589469826649,-0.310765654709479,-0.6456334668383141,-0.019180897443698046
calendar_reference,session_duration_sum_28d_log1p,3,68,13,-0.34505306279953124,0.006539904026253929,-1.113257197540119,-3.0667287975505015,0.28768266632996486
calendar_reference,session_duration_sum_28d_log1p,7,68,13,-0.4288911751471662,0.0,-1.1957554405863027,-3.104068367359205,0.19169507129022353
calendar_reference,session_duration_sum_28d_log1p,14,68,13,-0.6028893416336322,0.0009447138907692221,-1.3209857496493436,-3.243866984738406,0.0695998271153141
calendar_reference,session_duration_sum_28d_log1p,28,68,13,-0.9417358845239568,-0.021583574893895285,-1.4413063300186262,-3.483552787106637,0.03265177021841085
reporting_reference,session_duration_sum_28d_log1p,3,68,13,-0.0549112433765318,0.0,-0.1129552655493728,-0.43788659261466834,0.17484284032349723
reporting_reference,session_duration_sum_28d_log1p,7,68,13,-0.14559710560475642,0.0,-0.21708466328408135,-0.5135125706222606,-0.008304787509471672
reporting_reference,session_duration_sum_28d_log1p,14,68,13,-0.31416774159331934,0.0009447138907692221,-0.36087836278215857,-0.7523270915007914,-0.08922662799481396
reporting_reference,session_duration_sum_28d_log1p,28,68,13,-0.6391592987490635,0.0,-0.5997784474245813,-1.2265425697355425,-0.09292086283971271
calendar_reference,session_duration_sum_7d_log1p,3,68,13,-0.25857941777503973,0.06496294826226601,-0.8677780944881777,-2.3678342806030424,0.26583081266057956
calendar_reference,session_duration_sum_7d_log1p,7,68,13,-0.2559131277417425,0.07424806248098026,-0.9057457870276274,-2.3689706719576664,0.1842101044258702
calendar_reference,session_duration_sum_7d_log1p,14,68,13,-0.37550724258797835,0.037949401102503444,-1.0284239755778846,-2.4979128655543237,0.09719366157370699
calendar_reference,session_duration_sum_7d_log1p,28,68,13,-0.7308212341474755,-0.0432396266677233,-1.2374469353217825,-2.8473224211555994,-0.04241417256531432
reporting_reference,session_duration_sum_7d_log1p,3,68,13,0.004778149224915125,0.05404829644431164,0.04858346072315039,-0.26431097540341564,0.3657711415712153
reporting_reference,session_duration_sum_7d_log1p,7,68,13,0.021203447853820362,0.09605699677169,-0.024183820496618248,-0.31737452038066954,0.27513697076390575
reporting_reference,session_duration_sum_7d_log1p,14,68,13,-0.1332016057452307,0.011445367734199685,-0.1906421228275297,-0.4566991057103577,0.007789877641138794
reporting_reference,session_duration_sum_7d_log1p,28,68,13,-0.4769586939635228,0.0,-0.48962191192131466,-0.901494822346662,-0.16665528539783475
calendar_reference,session_recorded,3,68,13,-0.014705882352941173,0.0,-0.1505901505901506,-0.413034188034188,0.07148962148962144
calendar_reference,session_recorded,7,68,13,-0.023109243697478993,0.0,-0.09458398744113028,-0.25667189952904235,0.03363422291993722
calendar_reference,session_recorded,14,68,13,-0.03256302521008403,-0.0714285714285714,-0.14179966858538287,-0.3144612332112332,-0.0004772261468690693
calendar_reference,session_recorded,28,68,13,-0.09138655462184875,-0.0714285714285714,-0.17622209140066283,-0.37557615995115995,-0.019227226146869097
reporting_reference,session_recorded,3,68,13,0.05392156862745098,0.0,0.07651607651607652,-0.04091371591371591,0.21022588522588523
reporting_reference,session_recorded,7,68,13,0.008403361344537815,0.0,0.0031397174254317204,-0.0927851909994767,0.0951268969126112
reporting_reference,session_recorded,14,68,13,-0.005252100840336132,0.0,-0.03511468690040117,-0.1049025379382522,0.03132467730682011
reporting_reference,session_recorded,28,68,13,-0.05357142857142857,-0.03571428571428573,-0.07373430141287284,-0.15151589481946626,-0.007247105572998466
calendar_reference,wellness_metric_count,3,68,13,-0.38235294117647056,0.0,-0.6381766381766383,-2.299074074074074,0.643180199430199
calendar_reference,wellness_metric_count,7,68,13,-0.4453781512605042,0.0,-0.8783795569509855,-2.457371794871795,0.3161324786324784
calendar_reference,wellness_metric_count,14,68,13,-0.4086134453781513,0.0,-0.7513082155939299,-2.4107976844583985,0.5171899529042383
calendar_reference,wellness_metric_count,28,68,13,-0.6528361344537815,0.0,-1.1672063055991628,-2.7477764423076922,-0.001250572344322358
