team_id,month,feature,observed_count,mean,median,p95
TeamA,2020-08-01,readiness,560,6.701785714285714,7.0,9.0
TeamA,2020-09-01,readiness,569,6.648506151142355,7.0,8.0
TeamA,2020-05-01,readiness,384,6.440104166666667,6.0,9.0
TeamA,2021-04-01,readiness,497,6.766599597585513,7.0,9.0
TeamA,2020-11-01,readiness,510,6.86078431372549,7.0,9.0
TeamA,2020-01-01,readiness,0,,,
TeamA,2021-07-01,readiness,600,6.78,7.0,9.0
TeamA,2020-07-01,readiness,497,6.774647887323944,7.0,9.0
TeamB,2021-08-01,readiness,411,6.929440389294404,7.0,9.0
TeamA,2021-05-01,readiness,526,6.813688212927756,7.0,9.0
TeamB,2020-05-01,readiness,222,7.112612612612613,7.0,9.0
TeamB,2020-11-01,readiness,231,7.008658008658009,7.0,9.0
TeamB,2020-08-01,readiness,290,6.875862068965517,7.0,9.0
TeamB,2021-01-01,readiness,222,6.945945945945946,7.0,9.0
TeamB,2020-01-01,readiness,128,7.1640625,7.0,10.0
TeamB,2020-12-01,readiness,71,6.957746478873239,7.0,9.0
TeamA,2021-11-01,readiness,458,6.510917030567685,7.0,9.0
TeamB,2020-10-01,session_duration_minutes,713,25.94670406732118,0.0,120.0
TeamB,2020-12-01,session_duration_minutes,713,6.32538569424965,0.0,70.0
TeamA,2020-09-01,session_duration_minutes,810,55.32098765432099,60.0,150.0
TeamB,2020-01-01,session_duration_minutes,713,12.482468443197757,0.0,100.0
TeamA,2021-01-01,session_duration_minutes,837,54.45639187574672,60.0,140.0
TeamA,2021-11-01,session_duration_minutes,810,31.876543209876544,0.0,120.0
TeamA,2020-12-01,session_duration_minutes,837,33.04659498207885,0.0,120.0
TeamB,2020-06-01,session_duration_minutes,690,23.652173913043477,0.0,90.0
TeamB,2020-05-01,session_duration_minutes,713,19.565217391304348,0.0,100.0
TeamA,2020-10-01,session_duration_minutes,837,51.696535244922345,60.0,140.0
TeamA,2020-07-01,session_duration_minutes,837,43.9426523297491,40.0,120.0
TeamA,2020-08-01,session_duration_minutes,837,48.028673835125446,60.0,120.0
TeamB,2020-03-01,session_duration_minutes,713,27.279102384291726,0.0,110.0
TeamB,2020-09-01,session_duration_minutes,690,23.217391304347824,0.0,100.0
TeamB,2020-08-01,session_duration_minutes,713,21.90743338008415,0.0,90.0
TeamB,2020-04-01,session_duration_minutes,690,24.231884057971016,0.0,90.0
TeamB,2020-02-01,session_duration_minutes,667,31.469265367316343,0.0,150.0
TeamA,2020-01-01,session_duration_minutes,837,0.2986857825567503,0.0,0.0
TeamB,2021-01-01,session_duration_minutes,713,21.598877980364655,0.0,110.0
TeamA,2021-12-01,session_duration_minutes,837,30.280764635603344,0.0,110.0
TeamA,2021-02-01,session_duration_minutes,756,62.923280423280424,70.0,150.0
TeamB,2021-10-01,session_duration_minutes,713,28.401122019635345,0.0,110.0
TeamA,2020-11-01,session_duration_minutes,810,46.49382716049383,50.0,120.0
TeamA,2021-08-01,session_duration_minutes,837,51.966547192353644,60.0,120.0
TeamA,2021-04-01,session_duration_minutes,810,50.81481481481482,60.0,130.0
TeamA,2020-05-01,session_duration_minutes,837,38.05256869772999,0.0,140.0
TeamB,2021-03-01,session_duration_minutes,713,50.63113604488078,0.0,160.0
TeamB,2021-02-01,session_duration_minutes,644,32.46894409937888,0.0,130.0
TeamA,2020-02-01,session_duration_minutes,783,0.0,0.0,0.0
TeamA,2021-07-01,session_duration_minutes,837,35.22700119474313,0.0,90.0
TeamB,2020-11-01,session_duration_minutes,690,20.159420289855074,0.0,90.0
TeamB,2021-04-01,session_duration_minutes,690,28.463768115942027,0.0,120.0
TeamB,2021-08-01,session_duration_minutes,713,32.30715287517531,0.0,90.0
TeamB,2021-06-01,session_duration_minutes,690,25.666666666666668,0.0,110.0
TeamA,2020-06-01,session_duration_minutes,810,45.20987654320987,0.0,130.0
TeamA,2021-09-01,session_duration_minutes,810,52.7962962962963,60.0,140.0
TeamA,2021-05-01,session_duration_minutes,837,45.722819593787335,40.0,120.0
TeamB,2020-07-01,session_duration_minutes,713,24.277699859747546,0.0,90.0
TeamB,2021-05-01,session_duration_minutes,713,28.106591865357643,0.0,110.0
TeamA,2021-03-01,session_duration_minutes,837,64.8984468339307,80.0,150.0
TeamA,2020-03-01,session_duration_minutes,837,15.149342891278375,0.0,100.0
TeamB,2021-12-01,session_duration_minutes,713,0.5610098176718092,0.0,0.0
TeamB,2021-07-01,session_duration_minutes,713,13.997194950911641,0.0,90.0
TeamB,2021-11-01,session_duration_minutes,690,8.623188405797102,0.0,90.0
TeamA,2021-10-01,session_duration_minutes,837,46.37395459976105,50.0,140.0
TeamA,2020-04-01,session_duration_minutes,810,31.641975308641975,0.0,120.0
TeamA,2021-06-01,session_duration_minutes,810,42.41975308641975,30.0,120.0
TeamB,2021-09-01,session_duration_minutes,690,30.82608695652174,0.0,120.0
TeamA,2020-11-01,session_srpe,810,262.962962962963,180.0,810.0
TeamA,2020-12-01,session_srpe,837,189.48626045400238,0.0,720.0
TeamA,2020-05-01,session_srpe,837,218.14814814814815,0.0,840.0
TeamB,2021-01-01,session_srpe,713,138.5834502103787,0.0,800.0
TeamA,2020-08-01,session_srpe,837,266.10513739545996,180.0,880.0
TeamA,2020-09-01,session_srpe,810,317.4074074074074,240.0,930.0
TeamA,2021-07-01,session_srpe,837,203.7514934289128,0.0,790.0
TeamA,2020-10-01,session_srpe,837,287.0848267622461,240.0,840.0
TeamB,2020-09-01,session_srpe,690,145.55072463768116,0.0,720.0
TeamA,2021-11-01,session_srpe,810,171.75925925925927,0.0,770.0
TeamB,2021-06-01,session_srpe,690,166.82608695652175,0.0,810.0
TeamA,2020-06-01,session_srpe,810,267.12345679012344,0.0,900.0
TeamB,2020-10-01,session_srpe,713,163.29593267882188,0.0,810.0
